"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.98858,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.017,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.11275,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.24925,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.40357,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.57738,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.7859,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.04599,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.33227,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.62157,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.88118,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.0759,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.1632,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.1332,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.0375,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",99.93147,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.84896,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.78445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.80467,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",99.9559,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.2953,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",100.8569,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.5148,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.0911,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.4415,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.4651,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.2179,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.8387,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.4251,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.0512,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.7487,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.5274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.3865,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.2991,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.2365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.2036,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.2149,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.2539,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.285,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.2402,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.0714,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.78127,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.37406,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.86701,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",98.33504,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",97.89229,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",97.61259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",97.5082,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",97.52405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",97.61198,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",97.74599,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",97.91393,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",98.10342,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",98.26667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",98.38885,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",98.51801,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.67587,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",98.84052,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.00765,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.15955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.29157,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.42085,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.58101,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",99.77992,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",99.99856,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.2088,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.4076,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.6326,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",100.8678,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.0866,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",101.2526,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",101.3302,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",101.3332,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",101.2758,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",101.1822,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.0984,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.0651,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.0828,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",101.1522,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",101.2235,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",101.254,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",101.1973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.0118,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",100.7153,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.352,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",99.99301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.67421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.38158,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.12143,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",98.94234,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.85995,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.85562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.92554,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",99.06716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.26997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.5115,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.7726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.0178,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.2081,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.2947,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.2077,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",99.88708,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.35013,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.67165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",97.96683,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",97.39165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",97.01727,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",96.87231,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",96.94343,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",97.18738,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",97.52578,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.93351,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",98.39659,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.87589,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.32569,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.70968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.0322,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.2873,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.4495,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",100.5014,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",100.4444,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.3227,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",99.98425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",99.85461,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",99.84327,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",99.93051,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.1171,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.3441,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",100.5293,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",100.6243,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",100.5925,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",100.4303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.1722,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",99.87378,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.56789,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.26728,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",98.95039,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.64265,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",98.36859,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",98.13975,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",97.94204,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",97.79133,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",97.71732,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",97.75401,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",97.87146,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",98.01754,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",98.14459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",98.22038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",98.2341,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",98.20723,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",98.14445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",98.06652,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",98.00935,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",97.97726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",97.98049,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",98.03223,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",98.13419,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",98.30852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",98.57811,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",98.95287,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.40543,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",99.92206,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.4922,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.0646,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",101.6149,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",102.1221,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",102.5802,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",102.9855,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",103.3165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",103.6107,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",103.896,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",104.1324,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",104.243,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",104.191,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",104.0357,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",103.8541,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",103.6872,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",103.5679,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",103.4628,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",103.3389,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",103.179,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",103.0114,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",102.8506,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",102.6885,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",102.5033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",102.2623,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",101.9161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",101.4309,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",100.8032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.0936,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.32574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.55811,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",97.89973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",97.4313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",97.10767,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",96.88562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",96.72929,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",96.58044,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",96.39928,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",96.21215,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",96.04839,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",95.90939,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",95.84011,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",95.89301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",96.09537,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",96.4094,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",96.78779,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",97.18836,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",97.5798,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",97.92874,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",98.21752,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",98.4698,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.73457,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.98973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",99.28574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.61952,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",99.95935,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",100.2525,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",100.4665,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",100.5654,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",100.5221,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.3533,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",100.1129,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",99.83624,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.57563,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.40324,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.3448,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.3807,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.51535,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.75529,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",100.0492,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.3824,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",100.7315,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",101.0702,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",101.3978,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",101.6666,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",101.8735,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",101.9978,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",102.0331,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",102.0066,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",101.9465,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",101.8642,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",101.787,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",101.7277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",101.707,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-06",101.7362,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-07",101.7721,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-08",101.7816,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-09",101.7333,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-10",101.6115,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-11",101.4762,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-12",101.3986,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-01",101.4038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-02",101.4818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-03",101.5898,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-04",101.617,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-05",101.464,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-06",101.1198,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-07",100.6957,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-08",100.2988,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-09",99.97462,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-10",99.70244,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-11",99.4324,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-12",99.16154,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-01",98.89404,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-02",98.62727,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-03",98.35074,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-04",98.07137,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-05",97.85214,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-06",97.69536,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-07",97.59303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-08",97.55438,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-09",97.61157,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-10",97.74181,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-11",97.95476,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-12",98.23672,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-01",98.56336,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-02",98.89648,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-03",99.20068,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-04",99.4167,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-05",99.5002,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-06",99.45655,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-07",99.33244,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-08",99.16299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-09",99.00594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-10",98.87421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-11",98.7738,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-12",98.70259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-01",98.68461,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-02",98.74097,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-03",98.83004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-04",98.9108,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-05",98.99505,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-06",99.11272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-07",99.27625,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-08",99.47033,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-09",99.6808,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-10",99.89955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-11",100.0815,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-12",100.2329,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-01",100.3753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-02",100.5122,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-03",100.6611,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-04",100.8128,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-05",100.9528,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-06",101.0764,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-07",101.1599,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-08",101.1867,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-09",101.1598,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-10",101.1335,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-11",101.103,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-12",101.073,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-01",101.0422,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-02",100.9965,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-03",100.9163,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-04",100.8074,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-05",100.6527,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-06",100.4747,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-07",100.3115,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-08",100.2046,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-09",100.1363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-10",100.0788,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-11",100.0342,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-12",99.98633,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-01",99.93069,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-02",99.82013,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-03",99.71806,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-04",99.63208,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-05",99.56683,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-06",99.53261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-07",99.53062,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-08",99.55801,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-09",99.59193,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-10",99.6243,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-11",99.64072,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-12",99.63848,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-01",99.62054,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-02",99.61665,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-03",99.64423,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-04",99.69827,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-05",99.74259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-06",99.77972,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-07",99.80489,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-08",99.82637,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-09",99.85941,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-10",99.93451,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-11",100.0718,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-12",100.2814,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-01",100.5731,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-02",100.9298,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-03",101.3061,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-04",101.6832,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-05",102.0267,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-06",102.2832,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-07",102.4145,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-08",102.4296,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-09",102.3599,
